id,ans
1,3
2,2
3,3
4,2
5,1
6,1
7,4
8,1
9,2
10,4
11,3
12,2
13,4
14,0
15,0
16,1
17,0
18,4
19,1
20,0
21,1
22,2
23,3
24,1
25,3
26,0
27,4
28,5
29,4
30,1
31,4
32,2
33,5
34,4
35,4
36,0
37,5
38,4
39,1
40,1
41,3
42,4
43,3
44,0
45,1
46,5
47,4
48,2
49,4
50,5
51,3
52,3
53,5
54,5
55,0
56,1
57,4
58,1
59,5
60,5
61,1
62,2
63,2
64,1
65,5
66,4
67,0
68,3
69,1
70,1
71,4
72,5
73,0
74,5
75,0
76,1
77,3
78,4
79,1
80,2
81,0
82,2
83,2
84,3
85,3
86,2
87,5
88,5
89,3
90,0
91,5
92,1
93,4
94,5
95,3
96,5
97,2
98,3
99,3
100,4
101,1
102,2
103,0
104,0
105,0
106,2
107,1
108,4
109,2
110,4
111,2
112,1
113,4
114,0
115,5
116,3
117,1
118,0
119,4
120,4
121,2
122,4
123,3
124,2
125,0
126,4
127,3
128,5
129,3
130,3
131,1
132,1
133,5
134,2
135,3
136,3
137,0
138,5
139,1
140,2
141,1
142,3
143,4
144,0
145,3
146,0
147,0
148,4
149,5
150,0
151,2
152,1
153,0
154,5
155,1
156,1
157,1
158,5
159,5
160,5
161,2
162,5
163,1
164,5
165,5
166,3
167,4
168,3
169,4
170,3
171,1
172,0
173,4
174,0
175,0
176,0
177,5
178,4
179,4
180,5
181,0
182,5
183,2
184,2
185,2
186,4
187,0
188,2
189,4
190,4
191,4
192,2
193,1
194,2
195,0
196,5
197,4
198,0
199,2
200,2
201,1
202,5
203,5
204,0
205,5
206,0
207,3
208,0
209,0
210,5
211,5
212,1
213,2
214,3
215,3
216,0
217,1
218,0
219,5
220,5
221,1
222,5
223,4
224,3
225,0
226,1
227,5
228,3
229,5
230,1
231,0
232,5
233,0
234,3
235,3
236,1
237,3
238,5
239,5
240,0
241,1
242,5
243,5
244,1
245,3
246,5
247,5
248,5
249,1
250,5
251,3
252,2
253,4
254,4
255,4
256,5
257,5
258,3
259,1
260,3
261,1
262,0
263,3
264,4
265,1
266,3
267,3
268,0
269,4
270,1
271,0
272,5
273,1
274,0
275,5
276,2
277,3
278,2
279,4
280,2
281,2
282,3
283,2
284,4
285,4
286,2
287,4
288,5
289,3
290,0
291,2
292,0
293,1
294,1
295,1
296,0
297,4
298,4
299,0
300,3
301,0
302,5
303,0
304,0
305,5
306,3
307,3
308,2
309,4
310,3
311,3
312,0
313,3
314,4
315,5
316,4
317,4
318,0
319,2
320,1
321,4
322,5
323,1
324,1
325,3
326,1
327,0
328,5
329,4
330,5
331,4
332,1
333,3
334,1
335,1
336,2
337,3
338,3
339,3
340,5
341,3
342,5
343,1
344,3
345,0
346,5
347,0
348,0
349,0
350,0
351,5
352,3
353,0
354,1
355,1
356,2
357,0
358,5
359,2
360,1
361,3
362,1
363,1
364,4
365,3
366,1
367,4
368,1
369,2
370,3
371,5
372,4
373,2
374,4
375,1
376,4
377,3
378,0
379,2
380,4
381,3
382,0
383,0
384,3
385,2
386,1
387,1
388,4
389,2
390,3
391,2
392,3
393,0
394,3
395,1
396,4
397,0
398,1
399,2
400,5
401,5
402,2
403,2
404,1
405,1
406,2
407,3
408,1
409,1
410,0
411,0
412,1
413,2
414,5
415,1
416,5
417,1
418,0
419,4
420,4
421,0
422,1
423,3
424,4
425,5
426,4
427,5
428,2
429,2
430,4
431,5
432,1
433,1
434,2
435,0
436,2
437,3
438,0
439,0
440,1
441,0
442,4
443,0
444,1
445,2
446,4
447,4
448,2
449,0
450,4
451,4
452,0
453,4
454,5
455,1
456,2
457,3
458,4
459,4
460,1
461,0
462,4
463,4
464,2
465,4
466,2
467,1
468,0
469,4
470,1
471,4
472,2
473,2
474,5
475,3
476,2
477,5
478,3
479,1
480,3
481,4
482,1
483,5
484,5
485,0
486,2
487,5
488,2
489,2
490,3
491,3
492,2
493,3
494,4
495,0
496,5
497,4
498,0
499,5
500,1
