id,ans
1,0
2,0
3,3
4,2
5,5
6,2
7,1
8,1
9,0
10,4
11,3
12,2
13,4
14,0
15,0
16,5
17,0
18,4
19,3
20,1
21,1
22,5
23,0
24,1
25,3
26,0
27,4
28,2
29,4
30,3
31,0
32,2
33,5
34,3
35,4
36,1
37,5
38,1
39,1
40,1
41,3
42,4
43,5
44,0
45,1
46,4
47,5
48,2
49,4
50,3
51,3
52,3
53,4
54,4
55,0
56,1
57,4
58,0
59,5
60,4
61,5
62,2
63,4
64,1
65,5
66,3
67,0
68,4
69,1
70,3
71,4
72,1
73,0
74,1
75,2
76,4
77,4
78,4
79,1
80,2
81,0
82,5
83,2
84,2
85,1
86,2
87,1
88,1
89,3
90,3
91,5
92,1
93,3
94,5
95,3
96,5
97,0
98,0
99,3
100,4
101,1
102,3
103,4
104,0
105,2
106,1
107,1
108,4
109,2
110,4
111,1
112,0
113,4
114,0
115,5
116,3
117,1
118,5
119,4
120,0
121,4
122,1
123,0
124,2
125,3
126,4
127,3
128,2
129,3
130,1
131,1
132,1
133,5
134,3
135,3
136,3
137,1
138,5
139,1
140,2
141,1
142,3
143,4
144,5
145,3
146,0
147,3
148,1
149,5
150,2
151,2
152,1
153,0
154,5
155,1
156,4
157,0
158,5
159,4
160,2
161,5
162,4
163,1
164,5
165,5
166,1
167,1
168,3
169,4
170,3
171,2
172,5
173,4
174,4
175,0
176,0
177,4
178,4
179,4
180,2
181,2
182,2
183,3
184,2
185,2
186,4
187,3
188,3
189,2
190,2
191,4
192,2
193,0
194,5
195,0
196,5
197,3
198,4
199,1
200,1
201,1
202,4
203,5
204,0
205,1
206,0
207,3
208,0
209,5
210,5
211,3
212,1
213,4
214,5
215,3
216,0
217,1
218,0
219,3
220,2
221,1
222,2
223,3
224,3
225,1
226,2
227,5
228,5
229,5
230,1
231,0
232,5
233,0
234,0
235,3
236,1
237,0
238,3
239,5
240,4
241,0
242,1
243,5
244,1
245,5
246,5
247,0
248,0
249,4
250,3
251,3
252,2
253,4
254,1
255,4
256,4
257,5
258,3
259,2
260,2
261,1
262,0
263,3
264,1
265,4
266,2
267,3
268,1
269,0
270,0
271,0
272,5
273,1
274,2
275,5
276,2
277,3
278,2
279,4
280,5
281,4
282,3
283,2
284,2
285,3
286,5
287,5
288,4
289,4
290,0
291,4
292,4
293,2
294,1
295,1
296,2
297,4
298,4
299,0
300,3
301,1
302,5
303,4
304,2
305,1
306,3
307,3
308,2
309,1
310,5
311,4
312,1
313,5
314,5
315,5
316,1
317,5
318,4
319,2
320,1
321,4
322,0
323,5
324,1
325,3
326,1
327,2
328,5
329,4
330,2
331,4
332,2
333,1
334,0
335,5
336,4
337,3
338,4
339,0
340,5
341,3
342,5
343,1
344,3
345,0
346,5
347,4
348,4
349,2
350,0
351,1
352,3
353,1
354,1
355,2
356,0
357,0
358,5
359,4
360,3
361,5
362,1
363,1
364,4
365,3
366,1
367,2
368,2
369,5
370,3
371,5
372,1
373,2
374,4
375,0
376,0
377,3
378,1
379,1
380,4
381,3
382,5
383,0
384,3
385,2
386,1
387,2
388,4
389,5
390,3
391,2
392,5
393,3
394,0
395,0
396,3
397,0
398,3
399,2
400,5
401,4
402,4
403,2
404,1
405,2
406,2
407,0
408,3
409,3
410,0
411,0
412,5
413,2
414,5
415,3
416,5
417,1
418,0
419,4
420,0
421,0
422,1
423,3
424,4
425,0
426,2
427,5
428,2
429,3
430,4
431,5
432,5
433,1
434,3
435,0
436,2
437,4
438,1
439,4
440,2
441,0
442,4
443,0
444,0
445,5
446,5
447,3
448,2
449,2
450,4
451,2
452,0
453,4
454,2
455,2
456,1
457,0
458,4
459,4
460,1
461,5
462,5
463,2
464,2
465,3
466,2
467,5
468,4
469,0
470,1
471,5
472,2
473,2
474,2
475,3
476,2
477,5
478,0
479,1
480,2
481,4
482,0
483,5
484,1
485,0
486,4
487,4
488,2
489,2
490,3
491,3
492,2
493,1
494,0
495,0
496,5
497,0
498,3
499,5
500,5
